time_first,time_last,initiator,src_ip,dst_ip,src_port,dst_port,l4_proto,duration,pkts_aggr,bytes_aggr,mean_Bpp,mean_pps,mean_Bps,pkts_ab,pkts_ba,bytes_ab,bytes_ba,mean_Bpp_ab,mean_Bpp_ba,mean_pps_ab,mean_pps_ba,mean_Bps_ab,mean_Bps_ba,mean_pkts_asm,mean_bytes_asm,tcp_flags_aggr,tcp_flags_ab,tcp_flags_ba,dga,p_type,p_name,doh_method,doh_server,file_name
1753147708.144351,1753147708.316666,A,10.0.2.100,94.140.14.14,60859,443,6,0.17231488227844238,27,3896,144.2962962962963,156.68989029264978,22609.770836302356,14,13,834,3062,59.57142857142857,235.53846153846155,81.24660978137396,75.44328051127583,4839.976611261849,17769.794225040507,0.48148148148148145,0.7859342915811088,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147711.395543,1753147711.670947,A,10.0.2.100,94.140.15.15,53423,443,6,0.2754039764404297,28,3891,138.96428571428572,101.66882977470895,14128.336309049733,15,13,834,3057,55.6,235.15384615384616,54.46544452216551,47.20338525254344,3028.2787154324024,11100.05759361733,0.4642857142857143,0.7856592135697764,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147714.704788,1753147714.830356,A,10.0.2.100,94.140.14.14,42645,443,6,0.12556791305541992,27,3933,145.66666666666666,215.02308466402113,31321.69599939241,14,13,834,3099,59.57142857142857,238.3846153846154,111.4934513072702,103.5296333567509,6641.824170733096,24679.871828659314,0.48148148148148145,0.7879481311975591,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147717.86353,1753147717.978971,A,10.0.2.100,94.140.15.15,57775,443,6,0.11544108390808105,27,3892,144.14814814814815,233.88553785148545,33714.16715992524,14,13,834,3058,59.57142857142857,235.23076923076923,121.27398258965913,112.61155526182633,7224.464391412551,26489.702768512685,0.48148148148148145,0.7857142857142857,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147721.012667,1753147721.166746,A,10.0.2.100,94.140.15.15,42685,443,6,0.15407896041870117,27,3897,144.33333333333334,175.23482717321673,25292.226722000945,14,13,834,3063,59.57142857142857,235.6153846153846,90.86250297870497,84.37232419451176,5412.809106017139,19879.41761598381,0.48148148148148145,0.7859892224788299,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147724.206152,1753147724.328257,A,10.0.2.100,94.140.15.15,60103,443,6,0.12210512161254883,27,3901,144.4814814814815,221.12094598024782,31947.881861812843,14,13,834,3067,59.57142857142857,235.92307692307693,114.65530532309147,106.46564065715636,6830.180331389877,25117.701530422964,0.48148148148148145,0.7862086644450141,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147727.351142,1753147727.499409,A,10.0.2.100,94.140.15.15,36385,443,6,0.14826703071594238,27,3894,144.22222222222223,182.10386941469133,26263.424722252148,14,13,834,3060,59.57142857142857,235.3846153846154,94.42422858539551,87.67964082929582,5624.986188587132,20638.438533665016,0.48148148148148145,0.785824345146379,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147730.530431,1753147730.726232,A,10.0.2.100,94.140.14.14,52445,443,6,0.1958010196685791,27,3895,144.25925925925927,137.89509393618744,19892.644106720374,14,13,834,3061,59.57142857142857,235.46153846153845,71.50115981876385,66.39393411742358,4259.42623491779,15633.217871802584,0.48148148148148145,0.7858793324775353,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147733.74441,1753147733.867384,A,10.0.2.100,94.140.14.14,43585,443,6,0.12297391891479492,27,3882,143.77777777777777,219.55875065433608,31567.669260745653,14,13,834,3048,59.57142857142857,234.46153846153845,113.84527811706315,105.71347253727292,6781.925853545047,24785.743407200604,0.48148148148148145,0.7851622874806801,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147736.896287,1753147737.063701,A,10.0.2.100,94.140.14.14,42953,443,6,0.16741394996643066,28,3885,138.75,167.25010075692305,23205.95148002307,15,13,834,3051,55.6,234.69230769230768,89.59826826263733,77.6518324942857,4981.663715402636,18224.287764620436,0.4642857142857143,0.7853281853281854,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
