%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0800000000008000	1750528511.716025000	1750528511.716025000	0.000000000	fd00::7cb9:edff:fe94:8a17	54060	2606:4700::6810:f8f9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	2	0x0800000000008000	1750528511.716069000	1750528511.716069000	0.000000000	fd00::7cb9:edff:fe94:8a17	54068	2606:4700::6810:f8f9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	3	0x0800000000008000	1750528511.716110000	1750528511.716110000	0.000000000	fd00::7cb9:edff:fe94:8a17	54082	2606:4700::6810:f8f9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	4	0x0800000000008000	1750528511.716280000	1750528511.716280000	0.000000000	fd00::7cb9:edff:fe94:8a17	40298	2606:4700::6810:f9f9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	5	0x0800000000008000	1750528511.716315000	1750528511.716315000	0.000000000	fd00::7cb9:edff:fe94:8a17	40306	2606:4700::6810:f9f9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	6	0x0800000000008000	1750528511.716351000	1750528511.716351000	0.000000000	fd00::7cb9:edff:fe94:8a17	40310	2606:4700::6810:f9f9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	10	0x0800000000008000	1750528513.075874000	1750528513.075874000	0.000000000	fd00::7cb9:edff:fe94:8a17	43062	2404:6800:4008:c1b::54	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	7	0x0400000000004000	1750528511.716389000	1750528513.077289000	1.360900000	10.0.2.100	57930	104.16.249.249	443	6	10	1856	0	1460	185.6	520.2974	270709.3	2.071367	6.297584	7.348078	1363.803	0.1111111	-0.3143702	0x1001	2056	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_2_9_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	7	0x0400000000004001	1750528511.769315000	1750528513.077283000	1.307968000	104.16.249.249	443	10.0.2.100	57930	6	8	3558	0	1440	444.75	694.6588	482550.9	1.456897	3.1408	6.116357	2720.25	-0.1111111	0.3143702	0x1001	1	14	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_2_8_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	9	0x0400000000004000	1750528511.716461000	1750528513.088307000	1.371846000	10.0.2.100	57942	104.16.249.249	443	6	10	1856	0	1460	185.6	520.2974	270709.3	2.071367	6.297584	7.289448	1352.922	0.1111111	-0.3142435	0x1001	38096	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_2_9_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
