%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0800000000008000	1750529214.849435000	1750529214.849435000	0.000000000	fd00::fccb:a4ff:fea6:2775	32848	2620:fe::fe	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	2	0x0800000000008000	1750529214.849535000	1750529214.849535000	0.000000000	fd00::fccb:a4ff:fea6:2775	32852	2620:fe::fe	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	3	0x0800000000008000	1750529214.849620000	1750529214.849620000	0.000000000	fd00::fccb:a4ff:fea6:2775	32864	2620:fe::fe	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	4	0x0800000000008000	1750529214.850285000	1750529214.850285000	0.000000000	fd00::fccb:a4ff:fea6:2775	42248	2620:fe::9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	5	0x0800000000008000	1750529214.850386000	1750529214.850386000	0.000000000	fd00::fccb:a4ff:fea6:2775	42260	2620:fe::9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	6	0x0800000000008000	1750529214.850466000	1750529214.850466000	0.000000000	fd00::fccb:a4ff:fea6:2775	42274	2620:fe::9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	8	0x0400000000004000	1750529214.850646000	1750529215.866976000	1.016330000	10.0.2.100	37534	9.9.9.9	443	6	2	0	0	0	0	0	0	0	0	1.967865	0	1	0	0x1001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0001	0_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0	2	10	0x0000011e	1460	0
A	7	0x0400000000004000	1750529214.850565000	1750529216.194888000	1.344323000	10.0.2.100	37524	9.9.9.9	443	6	10	1803	0	1460	180.3	518.3548	268691.7	2.105397	6.38062	7.438688	1341.195	0.1111111	-0.3939496	0x1001	43447	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_2_8_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	7	0x0400000000004001	1750529214.899612000	1750529216.194881000	1.295269000	9.9.9.9	443	10.0.2.100	37524	6	8	4147	0	1440	518.375	673.0463	452991.3	1.653137	3.527709	6.176323	3201.652	-0.1111111	0.3939496	0x1001	1	10	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_2_8_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	10	0x0800000000008000	1750529216.195301000	1750529216.195301000	0.000000000	fd00::fccb:a4ff:fea6:2775	54658	2404:6800:4003:c04::54	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	15	0x0800000000008000	1750529216.943000000	1750529216.943000000	0.000000000	fd00::fccb:a4ff:fea6:2775	32874	2620:fe::fe	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	16	0x0800000000008000	1750529216.943134000	1750529216.943134000	0.000000000	fd00::fccb:a4ff:fea6:2775	42278	2620:fe::9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	18	0x0800000000008000	1750529216.943466000	1750529216.943466000	0.000000000	fd00::fccb:a4ff:fea6:2775	42280	2620:fe::9	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	19	0x0800000000008000	1750529216.943601000	1750529216.943601000	0.000000000	fd00::fccb:a4ff:fea6:2775	32888	2620:fe::fe	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	17	0x0400000000004000	1750529216.943246000	1750529217.841959000	0.898713000	10.0.2.100	37552	9.9.9.9	443	6	15	2245	0	1460	149.6667	427.9188	183114.5	2.487128	9.164684	16.69053	2498.017	0.07142857	-0.324812	0x1001	63772	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_6_13_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	17	0x0400000000004001	1750529216.975492000	1750529217.841951000	0.866459000	9.9.9.9	443	10.0.2.100	37552	6	13	4405	0	1440	338.8462	586.6425	344149.4	1.407214	3.862822	15.0036	5083.911	-0.07142857	0.324812	0x1001	1	30	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	11	0x0400000000004000	1750529216.195390000	1750529217.845825000	1.650435000	10.0.2.100	52930	172.217.194.84	443	6	17	2389	0	1460	140.5294	409.2441	167480.7	2.489802	9.68569	10.30031	1447.497	-0.05555556	-0.5492453	0x1001	13203	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_7_16_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	11	0x0400000000004001	1750529216.229472000	1750529217.845820000	1.616348000	172.217.194.84	443	10.0.2.100	52930	6	19	8211	0	1440	432.1579	657.3366	432091.4	0.7918433	2.334075	11.75489	5079.97	0.05555556	0.5492453	0x1001	1	72	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_4_19_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	20	0x0400000000004000	1750529216.943723000	1750529217.849874000	0.906151000	10.0.2.100	37564	9.9.9.9	443	6	15	2277	0	1460	151.8	428.7618	183836.7	2.466123	9.101245	16.55353	2512.826	0.03448276	-0.3184675	0x1001	59810	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_6_13_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	20	0x0400000000004001	1750529216.987188000	1750529217.849869000	0.862681000	9.9.9.9	443	10.0.2.100	37564	6	14	4405	0	1440	314.6429	569.1567	323939.4	1.417171	4.054821	16.22848	5106.175	-0.03448276	0.3184675	0x1001	1	26	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_14_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	9	0x0400000000004000	1750529214.850729000	1750529217.855166000	3.004437000	10.0.2.100	37542	9.9.9.9	443	6	28	3356	0	1460	119.8571	318.8725	101679.7	3.202751	15.93971	9.31955	1117.015	0.01818182	-0.2083038	0x1001	60915	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_16_26_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
