%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	2	0x0400000000004000	1736195891.479639000	1736195891.603728000	0.124089000	10.0.2.100	46884	149.112.112.112	443	6	12	2613	40	1500	217.75	480.1436	230537.9	2.118757	7.07452	0	0.029676	0.01034075	0.01539575	0.000237029	1.015725	2.045174	96.70478	21057.47	0.09090909	-0.2780771	0x1001	47304	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736195891.508600000	1736195891.603718000	0.095118000	149.112.112.112	443	10.0.2.100	46884	6	10	4626	40	1480	462.6	639.9612	409550.4	1.445408	3.508716	0	0.02964	0.0095118	0.01402073	0.0001965809	1.623281	3.101061	105.1326	48634.33	-0.09090909	0.2780771	0x1001	1	7	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_10_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736195891.575481000	1736195892.143686000	0.568205000	10.0.2.100	57330	34.149.100.209	443	6	12	964	40	258	80.33334	77.458	5999.742	1.530894	4.615983	0	0.364773	0.04735041	0.1045507	0.01093084	2.950187	9.742146	21.11914	1696.571	0.04347826	-0.6066911	0x1001	33347	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736195891.609810000	1736195892.143677000	0.533867000	34.149.100.209	443	10.0.2.100	57330	6	11	3938	40	1480	358	557.7544	311089.9	1.356403	4.337204	0	0.405129	0.04853337	0.1217385	0.01482026	3.007032	9.740075	20.60438	7376.369	-0.04347826	0.6066911	0x1001	1	20	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	1	0x0400000000004000	1736195891.479426000	1736195892.540443000	1.061017000	10.0.2.100	46868	149.112.112.112	443	6	22	3697	40	1500	168.0455	360.8625	130221.7	2.716225	12.09243	0	0.934973	0.04822804	0.1994942	0.03979793	4.592659	21.40755	20.73482	3484.393	0.02325581	-0.2081816	0x1001	34801	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_13_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736195891.509434000	1736195892.540436000	1.031002000	149.112.112.112	443	10.0.2.100	46868	6	21	5641	40	1480	268.619	489.1264	239244.6	1.450519	4.975575	0	0.935046	0.04909534	0.2044634	0.04180529	4.491869	20.46508	20.36853	5471.376	-0.02325581	0.2081816	0x1001	1	43	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_6_21_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736195891.575455000	1736195892.547732000	0.972277000	10.0.2.100	57322	34.149.100.209	443	6	21	1850	40	316	88.09524	83.44375	6962.859	1.563811	4.673059	0	0.360557	0.04629891	0.1022954	0.01046435	2.689022	8.468186	21.59878	1902.75	0	-0.4895144	0x1001	43118	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_9_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736195891.610668000	1736195892.547725000	0.937057000	34.149.100.209	443	10.0.2.100	57322	6	21	5398	40	1480	257.0476	441.2783	194726.6	1.398216	5.839133	0	0.40394	0.04462176	0.1163223	0.01353089	2.904046	9.301531	22.41059	5760.589	0	0.4895144	0x1001	1	14	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_8_21_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736195893.095047000	1736195893.095047000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	35004	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	9	0x0800000000008000	1736195895.737883000	1736195895.737883000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	60214	2a00:1148:1000:101:5:4:0:200	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
