%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	2	0x0400000000004000	1736195891.479639000	1736195891.603728000	0.124089000	10.0.2.100	46884	149.112.112.112	443	6	12	2113	0	1460	176.0833	481.3387	231686.9	2.156027	7.189926	96.70478	17028.1	0.09090909	-0.3329124	0x1001	47304	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736195891.508600000	1736195891.603718000	0.095118000	149.112.112.112	443	10.0.2.100	46884	6	10	4222	0	1440	422.2	640.3193	410008.8	1.448029	3.512727	105.1326	44386.97	-0.09090909	0.3329124	0x1001	1	7	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_10_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736195891.575481000	1736195892.143686000	0.568205000	10.0.2.100	57330	34.149.100.209	443	6	12	464	0	218	38.66667	78.52573	6166.291	1.758945	5.191332	21.11914	816.6067	0.04347826	-0.7655382	0x1001	33347	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736195891.609810000	1736195892.143677000	0.533867000	34.149.100.209	443	10.0.2.100	57330	6	11	3494	0	1440	317.6364	558.1099	311486.7	1.361784	4.34777	20.60438	6544.701	-0.04347826	0.7655382	0x1001	1	20	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	1	0x0400000000004000	1736195891.479426000	1736195892.540443000	1.061017000	10.0.2.100	46868	149.112.112.112	443	6	22	2797	0	1460	127.1364	361.6006	130755	2.767982	12.3116	20.73482	2636.15	0.02325581	-0.2633658	0x1001	34801	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_13_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736195891.509434000	1736195892.540436000	1.031002000	149.112.112.112	443	10.0.2.100	46868	6	21	4797	0	1440	228.4286	489.2665	239381.7	1.455058	4.98613	20.36853	4652.755	-0.02325581	0.2633658	0x1001	1	43	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_6_21_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736195891.575455000	1736195892.547732000	0.972277000	10.0.2.100	57322	34.149.100.209	443	6	21	990	0	276	47.14286	84.12385	7076.822	1.695419	4.974392	21.59878	1018.228	0	-0.6428571	0x1001	43118	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_9_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736195891.610668000	1736195892.547725000	0.937057000	34.149.100.209	443	10.0.2.100	57322	6	21	4554	0	1440	216.8571	441.4671	194893.2	1.405154	5.858032	22.41059	4859.896	0	0.6428571	0x1001	1	14	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_8_21_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736195893.095047000	1736195893.095047000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	35004	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	9	0x0800000000008000	1736195895.737883000	1736195895.737883000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	60214	2a00:1148:1000:101:5:4:0:200	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
