%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0400000000004000	1736196038.670406000	1736196038.827702000	0.157296000	10.0.2.100	47050	9.9.9.9	443	6	12	2613	40	1500	217.75	480.1436	230537.9	2.118757	7.07452	0	0.048412	0.013108	0.02148953	0.0004618	1.021195	2.135042	76.28929	16611.99	0.09090909	-0.2780771	0x1001	25427	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736196038.708412000	1736196038.827693000	0.119281000	9.9.9.9	443	10.0.2.100	47050	6	10	4626	40	1480	462.6	639.9612	409550.4	1.445408	3.508716	0	0.048371	0.0119281	0.0202543	0.0004102366	1.753566	3.874733	83.83565	38782.37	-0.09090909	0.2780771	0x1001	1	7	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_10_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736196038.787891000	1736196039.250217000	0.462326000	10.0.2.100	35536	34.149.100.209	443	6	12	964	40	258	80.33334	77.458	5999.742	1.530894	4.615983	0	0.273194	0.03852716	0.07873912	0.00619985	2.79532	9.010692	25.95571	2085.109	0.04347826	-0.6066911	0x1001	452	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736196038.818477000	1736196039.250208000	0.431731000	34.149.100.209	443	10.0.2.100	35536	6	11	3938	40	1480	358	627.644	393937	1.171652	3.202036	0	0.315612	0.03924827	0.09462882	0.008954613	2.982969	9.640817	25.47883	9121.421	-0.04347826	0.6066911	0x1001	1	17	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	2	0x0400000000004000	1736196038.670486000	1736196039.611291000	0.940805000	10.0.2.100	47056	9.9.9.9	443	6	19	3464	40	1500	182.3158	388.3753	150835.4	2.517219	10.44081	0	0.748284	0.04951606	0.1714682	0.02940135	4.170129	17.93353	20.19547	3681.953	-0.02564103	-0.234052	0x1001	32462	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_10_17_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736196038.700629000	1736196039.611284000	0.910655000	9.9.9.9	443	10.0.2.100	47056	6	20	5581	40	1480	279.05	494.6665	244694.9	1.466232	4.981497	0	0.793942	0.04553275	0.177625	0.03155065	4.36446	19.38266	21.96221	6128.556	0.02564103	0.234052	0x1001	1	44	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_7_20_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736196038.787937000	1736196039.612558000	0.824621000	10.0.2.100	35550	34.149.100.209	443	6	21	1850	40	316	88.09524	83.44375	6962.859	1.563811	4.673059	0	0.28827	0.03926767	0.08438162	0.007120257	2.634262	8.083079	25.46624	2243.455	0.02439024	-0.4866815	0x1001	17842	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_9_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736196038.818315000	1736196039.612553000	0.794238000	34.149.100.209	443	10.0.2.100	35550	6	20	5358	40	1480	267.9	492.9032	242953.6	1.213794	4.311156	0	0.330067	0.0397119	0.09991007	0.009982022	2.766581	8.487333	25.18137	6746.089	-0.02439024	0.4866815	0x1001	1	14	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_7_20_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736196041.596330000	1736196041.596330000	0.000000000	fd00::40da:8bff:fefd:c741	55994	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	8	0x0800000000008000	1736196041.596357000	1736196041.596357000	0.000000000	fd00::40da:8bff:fefd:c741	56000	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
