%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0400000000004000	1736196038.670406000	1736196038.827702000	0.157296000	10.0.2.100	47050	9.9.9.9	443	6	12	2113	0	1460	176.0833	481.3387	231686.9	2.156027	7.189926	76.28929	13433.27	0.09090909	-0.3329124	0x1001	25427	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736196038.708412000	1736196038.827693000	0.119281000	9.9.9.9	443	10.0.2.100	47050	6	10	4222	0	1440	422.2	640.3193	410008.8	1.448029	3.512727	83.83565	35395.41	-0.09090909	0.3329124	0x1001	1	7	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_10_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736196038.787891000	1736196039.250217000	0.462326000	10.0.2.100	35536	34.149.100.209	443	6	12	464	0	218	38.66667	78.52573	6166.291	1.758945	5.191332	25.95571	1003.621	0.04347826	-0.7655382	0x1001	452	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736196038.818477000	1736196039.250208000	0.431731000	34.149.100.209	443	10.0.2.100	35536	6	11	3494	0	1440	317.6364	627.97	394346.3	1.17676	3.210963	25.47883	8093.002	-0.04347826	0.7655382	0x1001	1	17	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	2	0x0400000000004000	1736196038.670486000	1736196039.611291000	0.940805000	10.0.2.100	47056	9.9.9.9	443	6	19	2684	0	1460	141.2632	389.21	151484.4	2.56462	10.62538	20.19547	2852.876	-0.02564103	-0.2805254	0x1001	32462	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_10_17_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736196038.700629000	1736196039.611284000	0.910655000	9.9.9.9	443	10.0.2.100	47056	6	20	4777	0	1440	238.85	494.817	244843.9	1.470705	4.991752	21.96221	5245.675	0.02564103	0.2805254	0x1001	1	44	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_7_20_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736196038.787937000	1736196039.612558000	0.824621000	10.0.2.100	35550	34.149.100.209	443	6	21	990	0	276	47.14286	84.12385	7076.822	1.695419	4.974392	25.46624	1200.552	0.02439024	-0.6428571	0x1001	17842	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_9_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736196038.818315000	1736196039.612553000	0.794238000	34.149.100.209	443	10.0.2.100	35550	6	20	4554	0	1440	227.7	493.0913	243139.1	1.220215	4.325665	25.18137	5733.798	-0.02439024	0.6428571	0x1001	1	14	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_7_20_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736196041.596330000	1736196041.596330000	0.000000000	fd00::40da:8bff:fefd:c741	55994	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	8	0x0800000000008000	1736196041.596357000	1736196041.596357000	0.000000000	fd00::40da:8bff:fefd:c741	56000	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
