%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	2	0x0400000000004000	1736194471.699791000	1736194472.097086000	0.397295000	10.0.2.100	38830	94.140.14.14	443	6	11	2559	40	1500	232.6364	498.4305	248432.9	2.073909	6.640161	0	0.290718	0.03611773	0.08872121	0.007871453	2.788551	8.883049	27.68723	6441.058	0.1	-0.07966193	0x1001	40869	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_9_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736194471.734779000	1736194472.097079000	0.362300000	94.140.14.14	443	10.0.2.100	38830	6	9	3002	40	1480	333.5555	608.0809	369762.3	1.56147	3.880432	0	0.291232	0.04025555	0.0984037	0.009683289	2.641857	7.713893	24.84129	8285.95	-0.1	0.07966193	0x1001	1	18	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_9_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736194472.101863000	1736194472.383292000	0.281429000	10.0.2.100	40158	34.149.100.209	443	6	12	964	40	258	80.33334	77.458	5999.742	1.530894	4.615983	0	0.120284	0.02345242	0.0387857	0.00150433	1.929866	4.919234	42.63953	3425.375	0.04347826	-0.6066911	0x1001	12342	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736194472.130536000	1736194472.383282000	0.252746000	34.149.100.209	443	10.0.2.100	40158	6	11	3938	40	1480	358	557.7544	311089.9	1.356403	4.337204	0	0.16108	0.02297691	0.0488275	0.002384125	2.757762	8.626903	43.52196	15580.86	-0.04347826	0.6066911	0x1001	1	14	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	1	0x0400000000004000	1736194471.699722000	1736194472.708465000	1.008743000	10.0.2.100	38826	94.140.14.14	443	6	20	3528	40	1500	176.4	377.3054	142359.4	2.621106	11.12105	0	0.524374	0.05043715	0.1304184	0.01700897	3.146609	11.26187	19.82665	3497.422	0.05263158	-0.06654319	0x1001	65156	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_11_18_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736194471.739343000	1736194472.708455000	0.969112000	94.140.14.14	443	10.0.2.100	38826	6	18	4031	40	1480	223.9444	464.8452	216081	1.713316	5.733725	0	0.568087	0.05383955	0.1473596	0.02171486	3.078483	10.71482	18.57371	4159.478	-0.05263158	0.06654319	0x1001	1	67	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_18_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736194472.101834000	1736194472.710607000	0.608773000	10.0.2.100	40152	34.149.100.209	443	6	38	2860	40	316	75.26316	71.21503	5071.581	1.379363	5.097652	0	0.135512	0.01602034	0.03186059	0.001015097	1.890978	6.48302	62.42064	4697.975	-0.1460674	-0.8745477	0x1001	50160	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_12_37_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736194472.140081000	1736194472.710603000	0.570522000	34.149.100.209	443	10.0.2.100	40152	6	51	42735	40	1480	837.9412	687.4734	472619.6	0.813468	1.764531	0	0.135573	0.01118671	0.02994762	0.0008968602	2.673124	10.81014	89.39182	74905.09	0.1460674	0.8745477	0x1001	1	9	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_30_51_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736194474.423531000	1736194474.423531000	0.000000000	fd00::48f:b5ff:fed5:c28	42824	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	8	0x0800000000008000	1736194474.423560000	1736194474.423560000	0.000000000	fd00::48f:b5ff:fed5:c28	42838	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	10	0x0400000000004000	1736194474.423775000	1736194474.874056000	0.450281000	10.0.2.100	36042	34.160.144.191	443	6	12	962	40	256	80.16666	76.90453	5914.306	1.523091	4.577805	0	0.2429	0.03752341	0.07161292	0.005128411	2.542203	7.832154	26.65003	2136.444	0.04347826	-0.6014087	0x1001	18858	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	10	0x0400000000004001	1736194474.464980000	1736194474.874047000	0.409067000	34.160.144.191	443	10.0.2.100	36042	6	11	3865	40	1480	351.3636	629.9791	396873.6	1.146305	3.170983	0	0.283292	0.03718791	0.08546107	0.007303595	2.899085	9.254506	26.89046	9448.33	-0.04347826	0.6014087	0x1001	1	13	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	11	0x0400000000004000	1736194475.035060000	1736194476.023897000	0.988837000	10.0.2.100	39614	183.84.7.241	443	6	13	3051	40	1500	234.6923	469.9606	220863	2.08291	7.127985	0	0.249248	0.07606438	0.1311523	0.01720092	0.9455536	1.993927	13.14676	3085.443	0	-0.315996	0x1001	43322	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	11	0x0400000000004001	1736194475.281114000	1736194476.023891000	0.742777000	183.84.7.241	443	10.0.2.100	39614	6	13	5870	40	1480	451.5385	644.155	414935.7	1.191346	2.947305	0	0.249175	0.0571367	0.1126489	0.01268977	1.675349	3.515589	17.50189	7902.776	0	0.315996	0x1001	1	278	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	13	0x0800000000008000	1736194476.614348000	1736194476.614348000	0.000000000	fd00::48f:b5ff:fed5:c28	38036	2600:1417:5e::1731:3caa	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
