%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	2	0x0400000000004000	1736194471.699791000	1736194472.097086000	0.397295000	10.0.2.100	38830	94.140.14.14	443	6	11	2099	0	1460	190.8182	499.7469	249747	2.10903	6.744736	27.68723	5283.228	0.1	-0.1137851	0x1001	40869	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_9_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736194471.734779000	1736194472.097079000	0.362300000	94.140.14.14	443	10.0.2.100	38830	6	9	2638	0	1440	293.1111	608.3815	370128	1.564801	3.886537	24.84129	7281.258	-0.1	0.1137851	0x1001	1	18	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_9_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736194472.101863000	1736194472.383292000	0.281429000	10.0.2.100	40158	34.149.100.209	443	6	12	464	0	218	38.66667	78.52573	6166.291	1.758945	5.191332	42.63953	1648.729	0.04347826	-0.7655382	0x1001	12342	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736194472.130536000	1736194472.383282000	0.252746000	34.149.100.209	443	10.0.2.100	40158	6	11	3494	0	1440	317.6364	558.1099	311486.7	1.361784	4.34777	43.52196	13824.16	-0.04347826	0.7655382	0x1001	1	14	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	1	0x0400000000004000	1736194471.699722000	1736194472.708465000	1.008743000	10.0.2.100	38826	94.140.14.14	443	6	20	2708	0	1460	135.4	378.1073	142965.1	2.670023	11.31959	19.82665	2684.529	0.05263158	-0.09958437	0x1001	65156	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_11_18_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736194471.739343000	1736194472.708455000	0.969112000	94.140.14.14	443	10.0.2.100	38826	6	18	3307	0	1440	183.7222	464.9848	216210.9	1.718411	5.746895	18.57371	3412.402	-0.05263158	0.09958437	0x1001	1	67	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_18_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736194472.101834000	1736194472.710607000	0.608773000	10.0.2.100	40152	34.149.100.209	443	6	38	1320	0	276	34.73684	71.5609	5120.962	1.520438	5.477153	62.42064	2168.296	-0.1460674	-0.9371593	0x1001	50160	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_12_37_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736194472.140081000	1736194472.710603000	0.570522000	34.149.100.209	443	10.0.2.100	40152	6	51	40691	0	1440	797.8627	687.5938	472785.2	0.8146443	1.766143	89.39182	71322.4	0.1460674	0.9371593	0x1001	1	9	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_30_51_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736194474.423531000	1736194474.423531000	0.000000000	fd00::48f:b5ff:fed5:c28	42824	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	8	0x0800000000008000	1736194474.423560000	1736194474.423560000	0.000000000	fd00::48f:b5ff:fed5:c28	42838	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
