%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0400000000004000	1736194937.984086000	1736194938.525242000	0.541156000	10.0.2.100	49896	104.16.248.249	443	6	13	2642	40	1500	203.2308	464.4907	215751.6	2.153356	7.460203	0	0.403209	0.04162738	0.1125513	0.0126678	3.301557	11.64541	24.02265	4882.141	0.08333334	-0.2641693	0x1001	30253	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736194938.012749000	1736194938.525237000	0.512488000	104.16.248.249	443	10.0.2.100	49896	6	11	4539	40	1480	412.6364	620.5182	385042.9	1.418424	3.620143	0	0.40341	0.04658982	0.1226152	0.01503448	3.104257	10.12619	21.46392	8856.793	-0.08333334	0.2641693	0x1001	1	21	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_11_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736194938.494917000	1736194938.870020000	0.375103000	10.0.2.100	43496	34.149.100.209	443	6	12	964	40	258	80.33334	77.458	5999.742	1.530894	4.615983	0	0.178493	0.03125858	0.05466308	0.002988052	2.19554	6.200718	31.99121	2569.961	0.04347826	-0.6066911	0x1001	61139	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736194938.533318000	1736194938.870011000	0.336693000	34.149.100.209	443	10.0.2.100	43496	6	11	3938	40	1480	358	627.644	393937	1.171652	3.202036	0	0.221784	0.03060845	0.06711708	0.004504702	2.815382	8.879155	32.67071	11696.12	-0.04347826	0.6066911	0x1001	1	16	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	2	0x0400000000004000	1736194937.984145000	1736194938.960018000	0.975873000	10.0.2.100	49906	104.16.248.249	443	6	21	3534	40	1500	168.2857	370.4033	137198.6	2.622867	11.4205	0	0.436365	0.04647014	0.1129852	0.01276567	3.031371	10.13085	21.51919	3621.373	-0.02325581	-0.2771528	0x1001	46758	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_10_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736194938.012680000	1736194938.960010000	0.947330000	104.16.248.249	443	10.0.2.100	49906	6	22	6244	40	1480	283.8182	481.1389	231494.6	1.445778	5.065384	0	0.452923	0.04306046	0.1143821	0.01308327	3.150747	10.91714	23.22316	6591.156	0.02325581	0.2771528	0x1001	1	42	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_8_22_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736194938.494895000	1736194938.960709000	0.465814000	10.0.2.100	43488	34.149.100.209	443	6	22	1936	40	303	88	80.45911	6473.668	1.57566	4.599945	0	0.119502	0.02117336	0.03341674	0.001116679	1.719156	4.998074	47.22915	4156.166	0	-0.4781671	0x1001	22402	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_10_21_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736194938.525042000	1736194938.960706000	0.435664000	34.149.100.209	443	10.0.2.100	43488	6	22	5484	40	1480	249.2727	434.6399	188911.9	1.352743	5.950388	0	0.161305	0.01980291	0.03890126	0.001513308	2.822075	10.93648	50.49763	12587.68	0	0.4781671	0x1001	1	10	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_8_22_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736194941.162483000	1736194941.162483000	0.000000000	fd00::58c1:98ff:fe26:e65c	56462	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	8	0x0800000000008000	1736194941.162516000	1736194941.162516000	0.000000000	fd00::58c1:98ff:fe26:e65c	56470	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
