%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0400000000004000	1736194937.984086000	1736194938.525242000	0.541156000	10.0.2.100	49896	104.16.248.249	443	6	13	2102	0	1460	161.6923	465.5795	216764.3	2.192531	7.58603	24.02265	3884.277	0.08333334	-0.3216072	0x1001	30253	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	1	0x0400000000004001	1736194938.012749000	1736194938.525237000	0.512488000	104.16.248.249	443	10.0.2.100	49896	6	11	4095	0	1440	372.2727	620.8212	385419	1.421433	3.62522	21.46392	7990.431	-0.08333334	0.3216072	0x1001	1	21	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_11_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	4	0x0400000000004000	1736194938.494917000	1736194938.870020000	0.375103000	10.0.2.100	43496	34.149.100.209	443	6	12	464	0	218	38.66667	78.52573	6166.291	1.758945	5.191332	31.99121	1236.994	0.04347826	-0.7655382	0x1001	61139	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	4	0x0400000000004001	1736194938.533318000	1736194938.870011000	0.336693000	34.149.100.209	443	10.0.2.100	43496	6	11	3494	0	1440	317.6364	627.97	394346.3	1.17676	3.210963	32.67071	10377.41	-0.04347826	0.7655382	0x1001	1	16	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	2	0x0400000000004000	1736194937.984145000	1736194938.960018000	0.975873000	10.0.2.100	49906	104.16.248.249	443	6	21	2674	0	1460	127.3333	371.1565	137757.1	2.673323	11.62759	21.51919	2740.111	-0.02325581	-0.3343291	0x1001	46758	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_10_20_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	2	0x0400000000004001	1736194938.012680000	1736194938.960010000	0.947330000	104.16.248.249	443	10.0.2.100	49906	6	22	5360	0	1440	243.6364	481.2816	231631.9	1.450261	5.075978	23.22316	5658.007	0.02325581	0.3343291	0x1001	1	42	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_8_22_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	3	0x0400000000004000	1736194938.494895000	1736194938.960709000	0.465814000	10.0.2.100	43488	34.149.100.209	443	6	22	1036	0	263	47.09091	81.1284	6581.816	1.714018	4.933515	47.22915	2224.064	0	-0.6323634	0x1001	22402	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_10_21_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	3	0x0400000000004001	1736194938.525042000	1736194938.960706000	0.435664000	34.149.100.209	443	10.0.2.100	43488	6	22	4600	0	1440	209.0909	434.8199	189068.4	1.359823	5.969682	50.49763	10558.6	0	0.6323634	0x1001	1	10	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_8_22_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	7	0x0800000000008000	1736194941.162483000	1736194941.162483000	0.000000000	fd00::58c1:98ff:fe26:e65c	56462	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	8	0x0800000000008000	1736194941.162516000	1736194941.162516000	0.000000000	fd00::58c1:98ff:fe26:e65c	56470	2600:1901:0:92a9::	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
