flowInd,block_local,block_label,time_first,time_last,duration,this_block_t_start,this_block_t_end,next_block_t_start,spills_into_next_block,starts_before_prev_block_end,margin_to_next_block_s,ends_within_own_window
1,0,dga:zloader,1789843226.940116,1789843405.719752,178.77963614463806,1789843226.9268827,1789843377.7894893,1789843457.822957,False,False,52.1,False
2,1,dga:qsnatch,1789843457.847267,1789843607.89237,150.04510307312012,1789843457.822957,1789843608.5417252,1789843688.5533864,False,False,80.66,True
6,3,benign,1789843918.686677,1789843929.036786,10.350109100341797,1789843918.665408,1789844068.8516672,1789844148.8692086,False,False,219.83,True
7,3,benign,1789843929.647635,1789844086.720667,157.07303190231323,1789843918.665408,1789844068.8516672,1789844148.8692086,False,False,62.15,False
9,4,benign,1789844148.874556,1789844298.050836,149.17628002166748,1789844148.8692086,1789844299.089683,1789844379.0963273,False,False,81.05,True
11,5,benign,1789844379.109113,1789844531.850954,152.74184107780457,1789844379.0963273,1789844529.715457,1789844609.729131,False,False,77.88,False
17,7,dga:flubot,1789844840.298251,1789844990.118106,149.8198549747467,1789844840.2785807,1789844990.352054,1789845070.4453166,False,False,80.33,True
19,8,dga:zloader,1789845070.576855,1789845129.245429,58.66857409477234,1789845070.4453166,1789845220.6128502,1789845300.6547036,False,False,171.41,True
20,8,dga:zloader,1789845129.512278,1789845219.799429,90.28715085983276,1789845070.4453166,1789845220.6128502,1789845300.6547036,False,False,80.86,True
22,9,benign,1789845300.669084,1789845450.417006,149.74792194366455,1789845300.6547036,1789845450.8349125,1789845530.857956,False,False,80.44,True
24,10,benign,1789845664.055211,1789845843.6811,179.6258888244629,1789845530.857956,1789845680.9817376,1789845760.9903913,True,False,-82.69,False
25,11,benign,1789845844.404852,1789845910.965007,66.56015515327454,1789845760.9903913,1789845911.8778524,1789845991.9191272,False,False,80.95,True
27,12,dga:zloader,1789845991.938624,1789846141.876371,149.93774700164795,1789845991.9191272,1789846142.4067636,1789846222.4343982,False,False,80.56,True
29,13,dga:qsnatch,1789846222.457362,1789846329.245116,106.78775405883788,1789846222.4343982,1789846372.779089,1789846452.807534,False,False,123.56,True
30,13,dga:qsnatch,1789846329.382591,1789846508.123928,178.74133706092834,1789846222.4343982,1789846372.779089,1789846452.807534,True,False,-55.32,False
31,14,benign,1789846509.117786,1789846688.692999,179.57521295547485,1789846452.807534,1789846603.090833,1789846683.110404,True,False,-5.58,False
32,15,benign,1789846689.274653,1789846833.734726,144.46007299423218,1789846683.110404,1789846833.9963043,inf,False,False,,True
