flowInd,block_local,block_label,time_first,time_last,duration,this_block_t_start,this_block_t_end,next_block_t_start,spills_into_next_block,starts_before_prev_block_end,margin_to_next_block_s,ends_within_own_window
9,2,dga:bazarbackdoor,1789909341.229703,1789909403.30199,62.07228708267212,1789909341.2126098,1789909491.402904,1789909571.4316635,False,False,168.13,True
10,2,dga:bazarbackdoor,1789909403.438585,1789909582.728312,179.28972697257996,1789909341.2126098,1789909491.402904,1789909571.4316635,True,False,-11.3,False
11,3,benign,1789909583.340269,1789909721.587095,138.24682593345642,1789909571.4316635,1789909721.7673757,1789909801.7849734,False,False,80.2,True
13,4,benign,1789909801.801893,1789909950.984255,149.18236207962036,1789909801.7849734,1789909951.9783173,1789910031.9874473,False,False,81.0,True
15,5,benign,1789910032.007136,1789910181.567934,149.5607979297638,1789910031.9874473,1789910182.1133432,1789910262.1325831,False,False,80.56,True
17,6,dga:bazarbackdoor,1789910262.158389,1789910417.176509,155.01811981201172,1789910262.1325831,1789910412.2013533,1789910492.221814,False,False,75.05,False
19,7,dga:flubot,1789910492.249199,1789910603.945124,111.69592499732973,1789910492.221814,1789910642.9502752,1789910722.9950156,False,False,119.05,True
20,7,dga:flubot,1789910604.025183,1789910783.966795,179.94161200523376,1789910492.221814,1789910642.9502752,1789910722.9950156,True,False,-60.97,False
21,8,dga:zloader,1789910784.144168,1789910934.207897,150.06372904777527,1789910722.9950156,1789910873.2211678,1789910953.2479346,False,False,19.04,False
22,9,benign,1789910953.271211,1789911103.0823,149.81108903884888,1789910953.2479346,1789911103.4037879,1789911183.4230242,False,False,80.34,True
24,10,benign,1789911183.440339,1789911332.996661,149.55632185935974,1789911183.4230242,1789911333.7949102,1789911413.823968,False,False,80.83,True
26,11,benign,1789911413.85038,1789911563.973299,150.1229190826416,1789911413.823968,1789911564.5646372,1789911644.5991232,False,False,80.63,True
28,12,dga:zloader,1789911644.626103,1789911803.482773,158.8566701412201,1789911644.5991232,1789911794.837745,1789911874.9045527,False,False,71.42,False
35,13,dga:qsnatch,1789911874.983015,1789912024.29062,149.30760502815247,1789911874.9045527,1789912024.9621317,1789912105.0381563,False,False,80.75,True
39,15,benign,1789912335.286657,1789912485.408713,150.12205600738525,1789912335.2544317,1789912485.3334281,inf,False,False,,False
