%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0400120000004000	1789843226.940116000	1789843405.719752000	178.779636000	192.168.64.3	55722	1.1.1.1	443	6	2412	90868	0	739	37.6733	42.34691	1793.261	5.251902	90.24202	13.49147	508.2682	0.006677796	-0.3809407	0x1201	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1584_2408_0_0_0_0_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	1	0x0400100000004001	1789843227.012501000	1789843405.719592000	178.707091000	1.1.1.1	443	192.168.64.3	55722	6	2380	202700	0	569	85.16807	53.19247	2829.438	1.208828	11.3461	13.31788	1134.258	-0.006677796	0.3809407	0x1201	1	13592	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2292_2380_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	2	0x0400100000004000	1789843457.847267000	1789843607.892370000	150.045103000	192.168.64.3	55722	1.1.1.1	443	6	2660	77388	0	98	29.09323	24.92367	621.1893	-0.0758077	1.438925	17.728	515.7649	0.02941176	-0.4161599	0x5001	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_1608_2660_0_0_0_0_0_0_0_0_0_0_0	20	60	0x00000022	0	1
B	2	0x0400100000004001	1789843457.920455000	1789843607.892315000	149.971860000	1.1.1.1	443	192.168.64.3	55722	6	2508	187712	0	333	74.8453	43.2542	1870.926	1.083331	5.697036	16.72314	1251.648	-0.02941176	0.4161599	0x1001	1	1	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_2380_2508_0_0_0_0_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	3	0x0400100000004000	1789843683.721005000	1789843683.858025000	0.137020000	192.168.64.3	55722	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	58.38564	0	0.3333333	0	0x1001	0	4	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	3	0x0400100000004001	1789843683.857933000	1789843683.857943000	0.000010000	1.1.1.1	443	192.168.64.3	55722	6	4	0	0	0	0	0	0	0	0	400000	0	-0.3333333	0	0x1001	0	0	50	50	0	0x48	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	4	0x0400100000004000	1789843683.725355000	1789843841.488939000	157.763584000	192.168.64.3	55743	1.1.1.1	443	6	2584	85416	0	739	33.05573	39.43393	1555.035	6.060654	111.9426	16.37894	541.4177	0.01095462	-0.4054461	0x1201	0	3	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1624_2580_0_0_0_0_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	4	0x0400100000004001	1789843683.841917000	1789843841.488672000	157.646755000	1.1.1.1	443	192.168.64.3	55743	6	2528	201912	0	560	79.87025	53.20527	2830.801	0.9971176	9.987754	16.03585	1280.787	-0.01095462	0.4054461	0x1201	1	1932	49	49	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2324_2528_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	5	0x0400100000004000	1789843918.683090000	1789843918.738924000	0.055834000	192.168.64.3	55743	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	143.2819	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	5	0x0400100000004001	1789843918.738772000	1789843918.738799000	0.000027000	1.1.1.1	443	192.168.64.3	55743	6	4	0	0	0	0	0	0	0	0	148148.1	0	-0.3333333	0	0x1001	0	0	49	49	0	0x40	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	6	0x0400100000004000	1789843918.686677000	1789843929.036786000	10.350109000	192.168.64.3	51846	1.1.1.1	443	6	176	8432	0	739	47.90909	114.0154	12999.51	3.76403	23.45771	17.00465	814.6774	0.02325581	-0.2159197	0x1201	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_104_172_0_0_0_4_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	6	0x0400100000004001	1789843918.759393000	1789843929.036720000	10.277327000	1.1.1.1	443	192.168.64.3	51846	6	168	13076	0	560	77.83334	93.45639	8734.097	2.656811	14.00801	16.34666	1272.315	-0.02325581	0.2159197	0x1201	0	338	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	4_4_0_136_168_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	7	0x0400120000004000	1789843929.647635000	1789844086.720667000	157.073032000	192.168.64.3	51847	1.1.1.1	443	6	2480	77800	0	468	31.37097	31.85291	1014.608	2.798221	45.09865	15.78883	495.311	0.01556102	-0.3897082	0x5201	0	5	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1528_2476_0_0_0_0_0_0_0_0_0_0_0	20	72	0x0000003e	1460	256
B	7	0x0400100000004001	1789843929.724821000	1789844086.720578000	156.995757000	1.1.1.1	443	192.168.64.3	51847	6	2404	177160	0	1452	73.69384	93.84695	8807.25	3.869334	72.54476	15.31252	1128.438	-0.01556102	0.3897082	0x1201	1	63122	49	49	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2208_2404_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
