%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	1	0x0400120000004000	1789908322.201440000	1789908487.929247000	165.727807000	192.168.64.3	49674	1.1.1.1	443	6	1296	47420	0	80	36.58951	29.88506	893.1168	-0.07300103	1.516207	7.820051	286.1318	0.004651163	-0.399686	0x5001	0	3	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_856_1296_0_0_0_0_0_0_0_0_0_0_0	4	12	0x00000022	0	0
B	1	0x0400100000004001	1789908322.267262000	1789908487.929189000	165.661927000	1.1.1.1	443	192.168.64.3	49674	6	1284	110564	0	290	86.10903	62.08234	3854.217	0.7572676	3.542819	7.750725	667.4074	-0.004651163	0.399686	0x1001	1	1	48	48	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_1124_1284_0_0_0_0_0_0_0_0_0_0_0	0	0	0x00000000	0	0
A	2	0x0400100000004000	1789908512.948638000	1789908560.167519000	47.218881000	192.168.64.3	49674	1.1.1.1	443	6	72	2472	0	81	34.33333	27.62807	763.3105	-0.3629736	1.832209	1.524814	52.35194	0	-0.4965377	0x1001	0	19	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_48_72_0_0_0_0_0_0_0_0_0_0_0	0	0	0x00000000	0	0
B	2	0x0400100000004001	1789908513.011362000	1789908560.167450000	47.156088000	1.1.1.1	443	192.168.64.3	49674	6	72	7348	0	310	102.0556	87.43121	7644.215	1.561146	4.005815	1.526844	155.8229	0	0.4965377	0x1001	1	1	48	48	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_64_72_0_0_0_0_0_0_0_0_0_0_0	0	0	0x00000000	0	0
A	3	0x0400100000004000	1789908647.852277000	1789908647.923340000	0.071063000	192.168.64.3	49674	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	112.5762	0	0.3333333	0	0x1001	0	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	0
B	3	0x0400100000004001	1789908647.922961000	1789908647.923032000	0.000071000	1.1.1.1	443	192.168.64.3	49674	6	4	0	0	0	0	0	0	0	0	56338.03	0	-0.3333333	0	0x1001	0	0	48	48	0	0x40	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	0
A	4	0x0400100000004000	1789908875.944152000	1789908875.944203000	0.000051000	192.168.64.3	55870	20.52.64.205	443	6	4	0	0	0	0	0	0	0	0	78431.38	0	1	0	0x1001	0	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0010	0x0000	0_0_0_0_4_0_0_0_0_0_0_0_0_0_0_0	0	0	0x00000000	0	0
A	5	0x0400100000004000	1789908878.962721000	1789909029.772624000	150.809903000	192.168.64.3	61495	8.8.8.8	443	6	3268	121580	0	81	37.20318	25.93701	672.7285	-0.1216155	1.992767	21.66966	806.1805	-0.2378731	-0.3424909	0x5001	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_2432_3268_0_0_0_0_0_0_0_0_0_0_0	16	48	0x00000022	0	0
B	5	0x0400100000004001	1789908879.027777000	1789909029.905020000	150.877243000	8.8.8.8	443	192.168.64.3	61495	6	5308	248240	0	296	46.76714	54.4465	2964.421	0.9003357	2.713232	35.18092	1645.311	0.2378731	0.3424909	0x1001	0	1	115	115	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0018	0x0000	0_0_0_2888_5308_0_0_0_0_0_0_0_0_0_0_0	0	0	0x00000000	0	0
A	6	0x0400100000004000	1789909104.442508000	1789909104.515765000	0.073257000	192.168.64.3	61495	8.8.8.8	443	6	8	0	0	0	0	0	0	0	0	109.2046	0	0.3333333	0	0x1001	0	4	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	0
