fold,cell,n_train,n_test,train_sessions_benign,train_sessions_dga,test_sessions_benign,test_sessions_dga,train_classes,test_classes,covered,classes_ok,train_auc,test_auc
0,curl|adguard|JSON,281,17,2,7,0,1,2,1,True,True,1.0,
0,curl|alidns|JSON,240,94,1,7,1,1,2,2,True,True,0.9998,0.6379
0,curl|cloudflare|JSON,258,42,2,6,0,2,2,1,True,True,1.0,
0,h2dnspython|adguard|GET,261,39,2,6,0,2,2,1,True,True,0.9995,
0,h2dnspython|adguard|POST,261,39,2,6,0,2,2,1,True,True,0.9973,
0,h2dnspython|cloudflare|GET,264,36,2,6,0,2,2,1,True,True,0.9745,
0,h2dnspython|cloudflare|POST,264,36,2,6,0,2,2,1,True,True,0.9523,
0,h2dnspython|google|GET,277,21,2,7,0,1,2,1,True,True,1.0,
0,h2dnspython|google|POST,279,21,2,7,0,1,2,1,True,True,1.0,
0,h2dnspython|quad9|GET,177,123,1,5,1,3,2,2,True,True,0.9999,0.3554
0,h2dnspython|quad9|POST,171,129,1,5,1,3,2,2,True,True,0.9997,0.3542
0,h2|adguard|JSON,204,96,1,7,1,1,2,2,True,True,1.0,0.4749
0,h2|alidns|JSON,237,63,2,5,0,3,2,1,True,True,1.0,
0,h2|cloudflare|JSON,176,124,1,5,1,3,2,2,True,True,1.0,0.2717
0,h2|google|JSON,252,48,2,5,0,3,2,1,True,True,1.0,
0,kdig|adguard|GET,199,101,1,7,1,1,2,2,True,True,1.0,0.0405
0,kdig|adguard|POST,201,101,1,7,1,1,2,2,True,True,1.0,0.0528
0,kdig|cloudflare|GET,276,24,2,7,0,1,2,1,True,True,0.9939,
0,kdig|cloudflare|POST,276,24,2,7,0,1,2,1,True,True,0.9779,
0,kdig|quad9|GET,192,118,1,6,1,2,2,2,True,True,1.0,0.3155
0,kdig|quad9|POST,192,114,1,6,1,2,2,2,True,True,1.0,0.2759
1,curl|adguard|JSON,239,59,2,5,0,3,2,1,True,True,1.0,
1,curl|alidns|JSON,292,42,2,6,0,2,2,1,True,True,0.9989,
1,curl|cloudflare|JSON,204,96,1,7,1,1,2,2,True,True,1.0,0.101
1,curl|google|JSON,285,15,2,7,0,1,2,1,True,True,1.0,
1,h2dnspython|adguard|GET,225,75,1,8,1,0,2,1,True,True,1.0,
1,h2dnspython|adguard|POST,225,75,1,8,1,0,2,1,True,True,1.0,
1,h2dnspython|cloudflare|GET,255,45,2,5,0,3,2,1,True,True,0.9826,
1,h2dnspython|cloudflare|POST,255,45,2,5,0,3,2,1,True,True,0.9566,
1,h2dnspython|google|GET,259,39,2,6,0,2,2,1,True,True,1.0,
1,h2dnspython|google|POST,261,39,2,6,0,2,2,1,True,True,1.0,
